customer_id,first_name,last_name,phone_number,username,email_address,national_id,dob,address
1,Darlene,Freeman,620189238,darlene.freeman39,darlene.freeman39@gmail.com,793168945074,1975-07-31,"1222 Carney Club Apt. 213
New Donnashire, PW 89800"
2,Jacqueline,Reid,890299594,jacqueline.reid28,jacqueline.reid28@hotmail.com,552942861499,1995-06-20,"7217 Moran Mount
Odonnellhaven, MI 17364"
3,Tina,Branch,193268897,tina.branch22,tina.branch22@gmail.com,186878885328,1990-11-11,"5928 Davis Skyway
West Maryland, VT 37962"
4,Michael,Castro,821977364,michael.castro91,michael.castro91@gmail.com,693335463952,1989-02-25,"080 Lin Isle Apt. 699
New Justinshire, NV 90181"
5,Elizabeth,Green,659706021,elizabeth.green17,elizabeth.green17@gmail.com,952490860571,1961-02-14,"0358 Foster Common
Matthewside, MA 27299"
6,Michael,Wiley,679897705,michael.wiley64,michael.wiley64@gmail.com,903991638692,1970-03-26,"171 Lozano Plains
West Wendy, ND 94062"
7,Calvin,Evans,931896021,calvin.evans69,calvin.evans69@gmail.com,620770043375,1971-09-06,"18111 Dawn Ferry
North Grantmouth, NC 26844"
8,Cynthia,Berry,121701043,cynthia.berry62,cynthia.berry62@gmail.com,958624941373,1999-02-10,"24554 Isaac Fork Apt. 315
Jamesstad, AZ 25167"
9,Sean,Wallace,721771615,sean.wallace12,sean.wallace12@hotmail.com,780987534231,1955-08-25,"2583 Moran View
Port Heatherborough, VT 10690"
10,Melissa,Matthews,573757467,melissa.matthews62,melissa.matthews62@gmail.com,237402506423,1996-07-28,"752 Cook Glen
Anthonyberg, MP 85777"
