<<<<<<< HEAD
customer_id,first_name,last_name,phone_number,username,email_address,national_id,dob,address
1,Mikayla,Lopez,0492246315,mikayla.lopez66,mikayla.lopez66@yahoo.com,424294481099,1991-02-14,"1026 Christopher Light Suite 174 Port Joshuaborough, PA 69881"
2,Nathan,Scott,0310417455,nathan.scott41,nathan.scott41@hotmail.com,362349438000,1974-09-15,"1365 Ashley Orchard Apt. 438 Josephstad, NH 99246"
3,Andrew,Owens,0880732932,andrew.owens87,andrew.owens87@gmail.com,603725800547,2002-07-25,"1869 Miller Burg Weaverburgh, MA 52153"
4,Tanner,Anderson,0554197594,tanner.anderson40,tanner.anderson40@hotmail.com,209963701392,1999-11-01,"93952 Harrell Forge North Todd, SD 22856"
5,Christina,Myers,0829109049,christina.myers5,christina.myers5@hotmail.com,614471628637,1955-09-08,"62408 Andrew Ways Apt. 146 Robertsonbury, VT 81287"
6,Ronnie,Hammond,0627035122,ronnie.hammond26,ronnie.hammond26@yahoo.com,944070878743,1956-11-07,"7910 Anthony Cove Suite 488 Smithbury, SD 05694"
7,Michael,Parker,0926573699,michael.parker39,michael.parker39@yahoo.com,951826216591,2005-05-02,"6619 Debra Row Apt. 131 North Zachary, IN 61909"
8,Susan,Simmons,0976833808,susan.simmons97,susan.simmons97@yahoo.com,348327914611,1987-05-25,"83327 Taylor Terrace Suite 698 Cooperville, AL 36469"
9,Elizabeth,Charles,0153847588,elizabeth.charles85,elizabeth.charles85@gmail.com,820562671314,2006-04-18,"50988 Deanna Center East Jason, MS 72821"
10,Bonnie,Gardner,0582150541,bonnie.gardner68,bonnie.gardner68@hotmail.com,031533381530,1980-04-29,"880 Johnson Ranch Port Erin, MS 12645"
11,Janet,Goodwin,0616814990,janet.goodwin17,janet.goodwin17@yahoo.com,581913174811,1990-07-02,"PSC 3010, Box 0468 APO AE 27204"
12,Shane,Harris,0493307119,shane.harris89,shane.harris89@gmail.com,560432867402,1999-02-22,"81743 Michael Grove East Lindsay, CO 90782"
13,Madison,Baker,0679330580,madison.baker25,madison.baker25@hotmail.com,326499352034,1978-01-11,Unit 2626 Box 0837 DPO AE 61518
14,Sophia,Mckenzie,0111770701,sophia.mckenzie11,sophia.mckenzie11@gmail.com,686244137759,1973-08-07,"4732 Kristie Place New Marissa, MO 37603"
15,Brian,Obrien,0509963015,brian.obrien72,brian.obrien72@yahoo.com,571232766640,1984-09-13,"4560 Eric Ford Suite 620 East Barbarabury, OK 96879"
16,Cody,Morrison,0183287885,cody.morrison37,cody.morrison37@hotmail.com,114979864858,1957-04-06,"255 Thompson Manors Spencermouth, OR 56161"
17,Kyle,Moon,0444706324,kyle.moon33,kyle.moon33@gmail.com,705990778279,1971-04-20,"5009 Murphy Burgs Melissafort, NH 40550"
18,Lisa,Powell,0291424051,lisa.powell72,lisa.powell72@yahoo.com,438167887430,1959-03-21,"212 Ortiz Mountains West Juliaberg, DC 61851"
19,Natalie,Burton,0128303937,natalie.burton33,natalie.burton33@gmail.com,117114333737,2002-08-19,"264 Melissa Glen Apt. 056 Port Joanfort, KY 99147"
20,William,Patterson,0858411252,william.patterson3,william.patterson3@hotmail.com,568389834591,1973-06-07,"6497 Jonathan Common Suite 461 East Johnshire, AR 36411"
21,Todd,Washington,0153697459,todd.washington54,todd.washington54@hotmail.com,049122193817,1995-11-03,"05234 Daniel Fall Suite 238 Sharonmouth, PW 37874"
22,Christopher,Moore,0233058431,christopher.moore63,christopher.moore63@yahoo.com,161142681157,1955-03-10,"81853 Miranda Road Suite 368 Woodsland, MO 26787"
23,Rebecca,Avila,0729961854,rebecca.avila17,rebecca.avila17@hotmail.com,028467735541,1969-03-06,USS Jenkins FPO AP 52577
24,Jane,Campbell,0294441161,jane.campbell78,jane.campbell78@yahoo.com,399919757294,1986-10-20,USNV Bauer FPO AA 89311
25,Audrey,Rodriguez,0295231885,audrey.rodriguez76,audrey.rodriguez76@gmail.com,378920222905,1989-01-11,"37831 Gray Prairie Suite 079 Wisestad, NY 96071"
26,Christopher,Banks,0881856777,christopher.banks12,christopher.banks12@gmail.com,788830983893,1997-07-25,"828 Harrington Vista Apt. 747 East Angelamouth, ME 76061"
27,Laura,Baxter,0468307312,laura.baxter28,laura.baxter28@gmail.com,624006012213,1957-07-28,"12765 Gilbert Drive Suite 998 Valentineville, PA 24807"
28,Christine,Ortiz,0592056303,christine.ortiz33,christine.ortiz33@yahoo.com,532978806177,1973-09-29,"648 Sherri Dam North Arieltown, DC 43859"
