account_id,customer_id,account_number,account_balance,account_open_date,account_status,account_type
0,1,WAEV66219112465882,25863382.04,2020-09-18,Closed,Checking
1,1,XVIP74312212184662,16783235.96,2020-08-03,Closed,Checking
2,2,EITU44151840226854,48293218.3,2021-09-16,Active,Savings
3,2,BGMT97463816971450,5978857.7,2024-07-20,Closed,Checking
4,3,THDZ81354836416597,38368701.5,2025-04-28,Closed,Checking
5,3,MIKX99755336881973,10839189.86,2020-09-24,Inactive,Business
6,4,EIHF18981034263597,17052283.42,2023-11-18,Inactive,Business
7,4,PSFO70621650944361,9708263.27,2024-09-24,Active,Savings
8,5,GHNG73897992836817,28576453.27,2024-06-04,Closed,Savings
9,5,FQPU95427981757833,8793664.68,2023-06-16,Closed,Business
10,6,BASC80182296264291,25474316.66,2023-11-13,Active,Checking
11,6,AYFG87132952543084,3615627.02,2022-07-16,Closed,Checking
12,7,XHZB12129791812497,10681566.48,2022-10-24,Inactive,Business
13,8,OGUP67274277726771,22812183.95,2020-09-02,Inactive,Savings
14,8,PQZG51496147894268,47593677.27,2022-04-29,Active,Checking
15,8,DSFC72884780246714,2830008.71,2023-01-17,Inactive,Checking
16,9,ZUMT21081275745342,24564446.16,2021-11-05,Active,Savings
17,9,CYEB99496980270256,13957188.02,2023-10-19,Inactive,Savings
18,10,UXUT09059904312203,10306949.57,2022-04-09,Active,Checking
19,10,LKTB13128117187153,6493218.6,2021-11-16,Closed,Checking
